start	end	text
0	10640	Great, greetings to everyone who is watching us, hope you all are safe.
10640	16640	My name is Konstantin Shabalev, and today we together with my colleague, media expert
16640	20920	Sergey Chernevsky are happy to introduce our guest.
20920	26960	It's Tom Cooper, military historian, writer and analyst from Austria.
26960	35960	Tom himself has Austria's Mozart, not kangaroo, but I hope that our audience is educated enough not to confuse.
35960	38960	Hello, Tom, how are you?
38960	42960	Hello, thank you, fine, nice to be with you today.
42960	52960	Great, so among other things, Tom is known in Ukraine as an author of regular updates on the Russian-Ukrainian war.
52960	62960	And almost six months have passed since our first interview, a lot of things changed, and we'd like to discuss them with Tom.
62960	76960	We tried to divide our conversation in several sections, like Tom does in his updates, so the first chapter of our talk is called the Ground War.
76960	88960	And the first question is the following, Tom, we are forced to start with a sad topic earlier this week, Ukraine with Derov from Vuhledar.
88960	101960	And you were describing this process almost live, and now we'd like to know your opinion on what consequences will it cause for Ukraine.
101960	124960	Vuhledar, it's a topic, very frustrating topic because this was such a left down of a great unit that was fighting courageously and with huge skill for two years in that place alone,
124960	147960	we talked about the Battle of Moschun, north-west of Kiev, back in March 2022, and was now left down by top political leadership in Ukraine, by the general staff of Ukrainian armed forces, like really, it's in a most shameful way.
147960	159960	And what should I tell you, I mean, it wasn't really an orderly withdrawal, everybody is calling withdrawal in Ukraine.
159960	180960	Actually, the last two or three days, the defenses of the 72nd collapsed, the Russians attacked from three sides, draw in, captured, I don't know how many troops killed, I don't know how many troops, including plenty of wounded troops,
180960	197960	the soldiers of the 72nd have demanded a withdrawal on time, there was no reaction from Kiev at all, as usually, I mean, it is a shameful episode in the history of Ukraine and nothing else.
197960	212960	It is such a meanwhile typical failure of the political and military leadership in the country that I simply, I cannot understand that something of this kind is happening.
212960	240960	And now, what is after, what now, well, what is left of the 72nd Brigade, perhaps 1000 troops who are tired, exhausted, demoralized, who is going to replace them, who is going to replace such an excellent defense position for the next 30 or 40 kilometers in western or northwestern direction, there is nothing.
241960	258960	So when you ask me what is going to happen now or whatever, I'm not sure, I mean, the only thing we can actually expect is Russia, further Russian advance in western and northwestern direction, or northern direction towards Pokrovsk, that's what's going to happen.
258960	270960	And I do not see the Ukrainian armed forces having a strong position on the way to say Pokrovsk. That's the situation.
271960	292960	Okay, we'll talk about the Ukrainian command a bit later and you mentioned Pokrovsk. Our second question was about this place. Russian army continues to slowly advance towards Pokrovsk.
292960	311960	And what do you think, if they do manage to occupy it, what will be their next target? As I understand, it's some kind of point from which they can advance in different ways.
311960	340960	Pokrovsk, that is related to Vukhleda. And to the situation at the political top in Kiev and in the general staff of the Ukrainian armed forces. If they continue fighting this war the way they are doing this the last year or so, actually the last one and a half year, almost two years, Pokrovsk is lost already now.
